ticker,clase,first_date,last_date,n_rows,raw_first,flags
PSNL,WL,2019-06-20,2026-07-01,1767,2019-06-20,
PTCT,WL,2013-06-20,2026-07-01,3276,2013-06-20,
PVLA,WL,2015-01-02,2026-07-01,2837,2015-01-02,
PWR,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
PXLW,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
QCOM,WL,2000-01-03,2026-07-01,6663,1991-12-16,PROFUNDO
QMCO,WL,2020-02-04,2026-07-01,1610,2020-02-04,
QRVO,WL,2015-02-10,2026-07-01,2864,2015-02-10,
QS,WL,2020-08-18,2026-07-01,1474,2020-08-18,
QTTB,WL,2018-03-28,2026-07-01,2076,2018-03-28,
QUIK,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
QURE,WL,2014-02-05,2026-07-01,3119,2014-02-05,
RAYA,WL,2022-12-14,2026-07-01,879,2022-12-14,
RDW,WL,2021-09-07,2026-07-01,1209,2021-09-07,
RGNX,WL,2015-09-17,2026-07-01,2712,2015-09-17,
RKLB,WL,2020-11-27,2026-07-01,1403,2020-11-27,
RMBS,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
RNAC,WL,2016-06-22,2026-07-01,2519,2016-06-22,
ROBO,WL,2013-10-25,2026-07-01,3188,2013-10-25,
ROK,WL,2000-01-03,2026-07-01,6660,1981-12-31,PROFUNDO
ROKT,WL,2018-10-24,2026-07-01,1897,2018-10-24,
ROP,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
RRX,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
RTX,WL,2000-01-03,2026-07-01,6662,1970-01-02,PROFUNDO
RUN,WL,2015-08-05,2026-07-01,2742,2015-08-05,
RVMD,WL,2020-02-13,2026-07-01,1603,2020-02-13,
SATL,WL,2022-01-27,2026-07-01,1110,2022-01-27,
SEDG,WL,2015-03-26,2026-07-01,2833,2015-03-26,
SENS,WL,2015-12-22,2026-07-01,2605,2015-12-22,
SHLD,WL,2023-09-15,2026-07-01,700,2023-09-15,
SHLS,WL,2021-01-27,2026-07-01,1363,2021-01-27,
SIDU,WL,2021-12-14,2026-07-01,1140,2021-12-14,
SIMO,WL,2005-06-29,2026-07-01,5283,2005-06-29,
SITM,WL,2019-11-21,2026-07-01,1659,2019-11-21,
SLAB,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
SLDB,WL,2018-01-26,2026-07-01,2118,2018-01-26,
SLDP,WL,2021-05-25,2026-07-01,1279,2021-05-25,
SLS,WL,2011-10-27,2026-07-01,3689,2011-10-27,
SMCI,WL,2020-01-15,2026-07-01,1623,2020-01-15,
SMHX,WL,2024-08-30,2026-07-01,459,2024-08-30,
SMMT,WL,2015-03-05,2026-07-01,2819,2015-03-05,
SMR,WL,2020-12-10,2026-07-01,1394,2020-12-10,
SMTC,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
SMTK,WL,2024-06-03,2026-07-01,516,2024-06-03,
SNDK,WL,2025-02-13,2026-07-01,346,2025-02-13,
SNDX,WL,2016-03-03,2026-07-01,2597,2016-03-03,
SOXL,WL,2010-03-11,2026-07-01,4101,2010-03-11,
SPCE,WL,2019-10-29,2026-07-01,1676,2019-10-29,
SPCX,WL,2026-06-12,2026-07-01,13,2026-06-12,
SPXC,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
SRPT,WL,2005-02-25,2026-07-01,5367,2005-02-25,BORDE-COBERTURA
STRL,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
STRO,WL,2018-09-27,2026-07-01,1949,2018-09-27,
STTK,WL,2020-10-12,2026-07-01,1436,2020-10-12,
STX,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
SWKS,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
SYM,WL,2021-03-09,2026-07-01,1332,2021-03-09,
SYNA,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
TAN,WL,2008-04-15,2026-07-01,4581,2008-04-15,
TCMD,WL,2016-07-28,2026-07-01,2495,2016-07-28,
TDG,WL,2006-03-14,2026-07-01,5106,2006-03-14,
TE,WL,2021-07-08,2026-07-01,1240,2021-07-08,
TEL,WL,2007-06-14,2026-07-01,4791,2007-06-14,
TEM,WL,2024-06-14,2026-07-01,512,2024-06-14,
TEX,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
TLN,WL,2024-07-10,2026-07-01,496,2024-07-10,
TOYO,WL,2024-07-03,2026-07-01,500,2024-07-03,
TSAT,WL,2021-11-22,2026-07-01,1155,2021-11-22,
TSEM,WL,2005-02-25,2026-07-01,5368,2005-02-25,BORDE-COBERTURA
TT,WL,2000-01-03,2026-07-01,6663,1985-07-01,PROFUNDO
TWST,WL,2018-10-31,2026-07-01,1925,2018-10-31,
TXG,WL,2019-09-12,2026-07-01,1709,2019-09-12,
TXN,WL,2000-01-03,2026-07-01,6659,1981-12-31,PROFUNDO
UFO,WL,2019-04-15,2026-07-01,1813,2019-04-15,
ULBI,WL,2005-02-25,2026-07-01,5365,2005-02-25,BORDE-COBERTURA
URA,WL,2010-11-10,2026-07-01,3931,2010-11-10,
UTHR,WL,2005-02-25,2026-07-01,5369,2005-02-25,BORDE-COBERTURA
VKTX,WL,2015-04-29,2026-07-01,2810,2015-04-29,
VRCA,WL,2018-06-15,2026-07-01,2021,2018-06-15,
VRDN,WL,2014-06-19,2026-07-01,3021,2014-06-19,
